taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
6273694	Probaenia crenata (Blanchard, 1843)	6273694	Probaenia crenata (Blanchard, 1843)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Chrysomelidae	7780	Probaenia	4734000	Probaenia crenata	6273694	NE
7191445	Chloroceryle americana americana	7191445	Chloroceryle americana americana	37	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Coraciiformes	1447	Alcedinidae	2984	Chloroceryle	2475481	Chloroceryle americana	2475486	
7193319	Anablepsoides micropus (Steindachner, 1863)	7193319	Anablepsoides micropus (Steindachner, 1863)	8	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Cyprinodontiformes	547	Rivulidae	3696	Anablepsoides	4839887	Anablepsoides micropus	7193319	NE
7341999	Thamnophilus doliatus doliatus	7341999	Thamnophilus doliatus doliatus	16	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thamnophilidae	5286	Thamnophilus	5959199	Thamnophilus doliatus	5959208	
7444611	Isleria hauxwelli (P.L.Sclater, 1857)	7444611	Isleria hauxwelli (P.L.Sclater, 1857)	2484	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thamnophilidae	5286	Isleria	8268883	Isleria hauxwelli	7444611	LC
7520853	Certhiaxis gutturata (D'Orbigny & Lafresnaye, 1838)	2485302	Cranioleuca gutturata (Orbigny & Lafresnaye, 1838)	3	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Furnariidae	5243	Cranioleuca	2485286	Cranioleuca gutturata	2485302	NE
7733690	Acraephia opaca Metcalf, 1947	7733690	Acraephia opaca Metcalf, 1947	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Fulgoridae	8585	Acraephia	2065259	Acraephia opaca	7733690	NE
8519310	Martarega chinai Hynes, 1948	8519310	Martarega chinai Hynes, 1948	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Notonectidae	4322	Martarega	2020493	Martarega chinai	8519310	NE
9243179	Psychodopygus hirsuta (Mangabeira, 1942)	9243179	Psychodopygus hirsuta (Mangabeira, 1942)	88	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Psychodopygus	1640362	Psychodopygus hirsuta	9243179	NE
9901636	BOLD:ADE9302	9901636	BOLD:ADE9302	10	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Ceratopogonidae	3340					
9971226	BOLD:AAX2941	9971226	BOLD:AAX2941	1	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thamnophilidae	5286	Epinecrophylla	7341726	Epinecrophylla leucophthalma	7341755	
